trackLength,lap_distance,lap_time,Velocity kmph,throttle,brake,steering,gear,rpm,rpm_perc,world_position_X,world_position_Y
4323,2.04734,0.016,289.83,100%,0%,0,7,11629,89.45%,-450.521,180.097
4323,2.04734,0.016,289.83,100%,0%,0,7,11629,89.45%,-450.521,180.097
4323,2.04734,0.016,289.83,100%,0%,0,7,11629,89.45%,-450.521,180.097
4323,3.05831,0.02875,290.14,100%,0%,0,7,11641.8,89.55%,-448.584,180.667
4323,4.06929,0.0415,290.46,100%,0%,0,7,11654.5,89.65%,-446.648,181.238
4323,5.08026,0.05425,290.77,100%,0%,0,7,11667.2,89.75%,-444.711,181.809
4323,6.09124,0.067,291.09,100%,0%,0,7,11680,89.85%,-442.775,182.38
4323,7.17208,0.0802,291.25,100%,0%,0,7,11686.4,89.90%,-441.738,182.685
4323,8.25291,0.0934,291.41,100%,0%,0,7,11692.8,89.94%,-440.701,182.991
4323,9.33375,0.1066,291.57,100%,0%,0,7,11699.2,89.99%,-439.665,183.296
4323,10.4146,0.1198,291.74,100%,0%,0,7,11705.6,90.04%,-438.628,183.602
4323,11.4954,0.133,291.9,100%,0%,0,7,11712,90.09%,-437.591,183.907
4323,12.5118,0.1455,292.05,100%,0%,0,7,11718,90.14%,-436.616,184.195
4323,13.5282,0.158,292.2,100%,0%,0,7,11724,90.18%,-435.641,184.482
4323,14.5445,0.1705,292.35,100%,0%,0,7,11730,90.23%,-434.666,184.769
4323,15.5609,0.183,292.5,100%,0%,0,7,11736,90.28%,-433.691,185.057
4323,16.5778,0.1955,292.64,100%,0%,0,7,11741.8,90.32%,-432.716,185.344
4323,17.5947,0.208,292.79,100%,0%,0,7,11747.5,90.37%,-431.74,185.632
4323,18.6116,0.2205,292.93,100%,0%,0,7,11753.2,90.41%,-430.765,185.92
4323,19.6285,0.233,293.08,100%,0%,0,7,11759,90.45%,-429.79,186.207
4323,20.5357,0.244167,293.21,100%,0%,0,7,11764,90.49%,-428.919,186.464
4323,21.4429,0.255333,293.33,100%,0%,0,7,11769,90.53%,-428.049,186.721
